time,machine_id,cpu_util
2017-10-05 00:40:00,m16,15.733333333
2017-10-05 00:50:00,m16,15.733333333
2017-10-05 01:00:00,m16,15.5
2017-10-05 01:10:00,m16,16.23
2017-10-05 01:20:00,m16,15.75
2017-10-05 01:30:00,m16,42.7
2017-10-05 01:40:00,m16,49.256666667
2017-10-05 01:50:00,m16,47.706666667
2017-10-05 02:00:00,m16,48.715
2017-10-05 02:10:00,m16,45.6
2017-10-05 02:20:00,m16,49.32
2017-10-05 02:30:00,m16,49.173333333
2017-10-05 02:40:00,m16,43.506666667
2017-10-05 02:50:00,m16,49.665
2017-10-05 03:00:00,m16,49.535
2017-10-05 03:10:00,m16,45.915833333
2017-10-05 03:20:00,m16,49.9
2017-10-05 03:30:00,m16,49.18
2017-10-05 03:40:00,m16,42.41
2017-10-05 03:50:00,m16,48.4
2017-10-05 04:00:00,m16,49.066666667
2017-10-05 04:10:00,m16,48.933333333
2017-10-05 04:20:00,m16,49.6
2017-10-05 04:30:00,m16,49.6
2017-10-05 04:40:00,m16,49.1
2017-10-05 04:50:00,m16,50.283333333
2017-10-05 05:00:00,m16,48.495
2017-10-05 05:10:00,m16,49.06
2017-10-05 05:20:00,m16,48.595
2017-10-05 05:30:00,m16,49.5
2017-10-05 05:40:00,m16,49.085
2017-10-05 05:50:00,m16,47.4
2017-10-05 06:00:00,m16,49.853333333
2017-10-05 06:10:00,m16,43.283333333
2017-10-05 06:20:00,m16,50.28
2017-10-05 06:30:00,m16,42.7
2017-10-05 06:40:00,m16,49.48
2017-10-05 06:50:00,m16,49.33
2017-10-05 07:00:00,m16,43.14
2017-10-05 07:10:00,m16,49.773333333
2017-10-05 07:20:00,m16,50.3
2017-10-05 07:30:00,m16,48.05
2017-10-05 07:40:00,m16,50.12
2017-10-05 07:50:00,m16,48.1
2017-10-05 08:00:00,m16,42.6
2017-10-05 08:10:00,m16,42.156666667
2017-10-05 08:20:00,m16,49.0
2017-10-05 08:30:00,m16,48.353333333
2017-10-05 08:40:00,m16,48.473333333
2017-10-05 08:50:00,m16,49.44
2017-10-05 09:00:00,m16,49.066666667
2017-10-05 09:10:00,m16,47.166666667
2017-10-05 09:20:00,m16,49.226666667
2017-10-05 09:30:00,m16,50.5
2017-10-05 09:40:00,m16,45.12
2017-10-05 09:50:00,m16,50.575
2017-10-05 10:00:00,m16,49.433333333
2017-10-05 10:10:00,m16,49.89
2017-10-05 10:20:00,m16,49.25
2017-10-05 10:30:00,m16,49.63
2017-10-05 10:40:00,m16,49.25
2017-10-05 10:50:00,m16,50.24
